Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
21,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-296,2006,0.3,2,6.43,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
22,Mathis Amougou,fr FRA,MF,Chelsea,19-112,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
23,Joachim Andersen,dk DEN,DF,Crystal Palace,28-344,1996,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
24,Joachim Andersen,dk DEN,DF,Fulham,28-344,1996,25.7,30,1.17,23,1,0,6,0,0,2,0.08,1,1,0,0,0,0,Matches
25,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-185,2002,27.4,78,2.85,38,18,7,7,3,5,10,0.36,4,3,0,1,1,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
26,André,br BRA,MF,Wolves,23-298,2001,25.0,45,1.80,37,3,1,0,0,4,3,0.12,2,1,0,0,0,0,Matches
27,Michail Antonio,jm JAM,FW,West Ham,35-043,1990,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0,0,0,4,0,0,Matches
28,Antony,br BRA,"DF,MF",Manchester Utd,25-075,2000,1.6,8,5.11,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
29,Julian Araujo,mx MEX,DF,Bournemouth,23-270,2001,4.7,4,0.85,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
30,Cameron Archer,eng ENG,FW,Southampton,23-293,2001,15.3,17,1.12,8,0,4,4,1,0,0,0.00,0,0,0,0,0,0,Matches
31,Alphonse Areola,fr FRA,GK,West Ham,32-072,1993,23.1,3,0.13,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
32,Joe Aribo,ng NGA,"MF,DF",Southampton,28-293,1996,21.2,37,1.75,32,0,2,1,2,0,1,0.05,1,0,0,0,0,0,Matches
33,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-089,1997,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,Matches
34,Harrison Armstrong,eng ENG,MF,Everton,18-111,2007,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
35,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-219,1994,28.0,4,0.14,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
36,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-109,1996,6.0,27,4.50,16,7,0,1,2,1,3,0.50,2,0,0,1,0,0,Matches
