Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
551,Willian,br BRA,"FW,MF",Fulham,36-274,1988,2.7,0,7,0,0.0,2.61,0.00,0.00,,22.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
552,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-263,1999,11.4,0,17,3,17.6,1.49,0.26,0.00,0.00,15.4,0,0,0,1.6,1.6,0.09,-1.6,-1.6,Matches
553,Callum Wilson,eng ENG,FW,Newcastle Utd,33-072,1992,3.2,0,6,1,16.7,1.89,0.32,0.00,0.00,15.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
554,Harry Wilson,wls WAL,"FW,MF",Fulham,28-049,1997,11.1,5,32,11,34.4,2.87,0.99,0.16,0.45,17.3,1,0,0,3.7,3.7,0.12,+1.3,+1.3,Matches
555,Harry Winks,eng ENG,MF,Leicester City,29-097,1996,17.1,0,10,4,40.0,0.59,0.23,0.00,0.00,29.2,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
556,Ben Winterburn,eng ENG,"FW,MF",Bournemouth,20-248,2004,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
557,Yoane Wissa,cd COD,FW,Brentford,28-249,1996,29.4,18,80,37,46.3,2.72,1.26,0.23,0.49,13.4,0,0,0,16.5,16.5,0.21,+1.5,+1.5,Matches
558,Chris Wood,nz NZL,FW,Nott'ham Forest,33-154,1991,29.9,19,55,30,54.5,1.84,1.00,0.29,0.53,14.1,0,3,3,11.7,9.3,0.17,+7.3,+6.7,Matches
559,Nathan Wood-Gordon,eng ENG,DF,Southampton,22-344,2002,6.9,0,2,0,0.0,0.29,0.00,0.00,,5.9,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
560,Luke Woolfenden,eng ENG,DF,Ipswich Town,26-201,1998,13.2,0,1,0,0.0,0.08,0.00,0.00,,12.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
561,Yehor Yarmoliuk,ua UKR,MF,Brentford,21-070,2004,13.3,0,9,2,22.2,0.68,0.15,0.00,0.00,15.9,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
562,Ryan Yates,eng ENG,MF,Nott'ham Forest,27-170,1997,20.8,2,32,9,28.1,1.54,0.43,0.06,0.22,19.3,0,0,0,2.3,2.3,0.07,-0.3,-0.3,Matches
563,Leny Yoro,fr FRA,DF,Manchester Utd,19-178,2005,12.4,0,5,1,20.0,0.40,0.08,0.00,0.00,8.6,0,0,0,0.7,0.7,0.15,-0.7,-0.7,Matches
564,Ashley Young,eng ENG,"DF,FW",Everton,39-305,1985,18.0,1,6,3,50.0,0.33,0.17,0.17,0.33,24.5,3,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
565,Illia Zabarnyi,ua UKR,DF,Bournemouth,22-251,2002,31.6,0,10,0,0.0,0.32,0.00,0.00,,9.8,0,0,0,1.1,1.1,0.11,-1.1,-1.1,Matches
566,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,28-146,1996,5.1,0,6,0,0.0,1.19,0.00,0.00,,18.0,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
567,Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23-353,2001,15.6,3,28,11,39.3,1.80,0.71,0.11,0.27,13.1,0,0,0,4.8,4.8,0.17,-1.8,-1.8,Matches
568,Martin Ødegaard,no NOR,MF,Arsenal,26-144,1998,23.7,2,43,13,30.2,1.82,0.55,0.02,0.08,18.7,3,1,1,4.6,3.8,0.09,-2.6,-2.8,Matches
