Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
75,Cameron Burgess,au AUS,DF,Ipswich Town,29-201,1995,16.1,590,729,80.9,10830,5211,240,264,90.9,280,322,87.0,62,122,50.8,2,0.5,0.4,+1.5,7,45,4,0,41,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
76,Dan Burn,eng ENG,DF,Newcastle Utd,33-001,1992,34.0,1630,1834,88.9,29674,10371,571,632,90.3,948,1001,94.7,98,160,61.3,0,0.9,1.0,-0.9,8,39,7,0,59,Matches
77,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-168,1994,10.3,153,253,60.5,2416,597,82,102,80.4,51,78,65.4,14,36,38.9,1,1.6,1.2,-0.6,10,8,8,7,8,Matches
78,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,22-126,2003,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
79,Moisés Caicedo,ec ECU,"MF,DF",Chelsea,23-189,2001,34.2,1827,2037,89.7,31575,8351,821,890,92.2,818,885,92.4,153,196,78.1,2,3.0,2.7,-1.0,29,219,31,2,197,Matches
80,Tom Cairney,sct SCO,MF,Fulham,34-110,1991,5.5,482,533,90.4,7576,1648,267,286,93.4,181,194,93.3,29,39,74.4,0,1.0,1.1,-1.0,10,46,7,3,47,Matches
81,Jens Cajuste,se SWE,MF,Ipswich Town,25-273,1999,19.8,576,699,82.4,9518,1931,263,296,88.9,271,316,85.8,29,58,50.0,0,0.6,0.6,-0.6,11,45,5,1,46,Matches
82,Riccardo Calafiori,it ITA,DF,Arsenal,22-356,2002,10.3,449,526,85.4,6549,1644,272,297,91.6,150,175,85.7,19,28,67.9,1,0.3,0.7,+0.7,6,40,9,1,54,Matches
83,Dominic Calvert-Lewin,eng ENG,FW,Everton,28-055,1997,17.6,177,282,62.8,2075,488,128,183,69.9,36,61,59.0,3,8,37.5,1,0.6,0.7,+0.4,7,19,5,1,19,Matches
84,Diego Carlos,br BRA,DF,Aston Villa,32-056,1993,9.2,534,603,88.6,10941,4103,138,151,91.4,341,362,94.2,54,83,65.1,0,0.0,0.1,0.0,0,23,1,0,34,Matches
85,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-253,2002,5.1,126,178,70.8,1755,442,78,94,83.0,32,45,71.1,7,18,38.9,1,0.7,0.6,+0.3,4,11,5,1,17,Matches
86,Casemiro,br BRA,MF,Manchester Utd,33-076,1992,14.8,670,854,78.5,11089,3522,318,368,86.4,267,319,83.7,58,97,59.8,0,2.3,1.9,-2.3,20,68,20,6,70,Matches
87,Kaelan Casey,eng ENG,DF,West Ham,20-194,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
