Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
130,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-246,1998,2.9,8,5,1,1,6,4,6,66.7,2,2,0,2,1,9,8,1,Matches
131,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-303,2002,18.2,35,28,7,19,9,17,28,60.7,11,11,0,11,11,46,16,0,Matches
132,Rúben Dias,pt POR,DF,Manchester City,27-361,1997,22.2,16,10,6,9,1,7,11,63.6,4,17,14,3,18,34,59,3,Matches
133,Luis Díaz,co COL,FW,Liverpool,28-117,1997,24.7,33,21,10,17,6,13,34,38.2,21,18,0,18,7,40,7,1,Matches
134,Tyler Dibling,eng ENG,"FW,MF",Southampton,19-059,2006,19.4,34,20,13,18,3,16,26,61.5,10,19,5,14,8,42,15,1,Matches
135,Lucas Digne,fr FRA,DF,Aston Villa,31-294,1993,25.1,63,37,38,16,9,43,64,67.2,21,23,4,19,25,88,85,1,Matches
136,Issa Diop,fr FRA,DF,Fulham,28-121,1997,14.9,26,12,18,8,0,13,18,72.2,5,10,7,3,9,35,72,2,Matches
137,Axel Disasi,fr FRA,DF,Aston Villa,27-060,1998,5.4,8,5,7,1,0,3,7,42.9,4,4,1,3,5,13,18,0,Matches
138,Axel Disasi,fr FRA,DF,Chelsea,27-060,1998,4.0,7,4,5,1,1,6,11,54.5,5,4,1,3,2,9,11,1,Matches
139,Roman Dixon,eng ENG,DF,Everton,20-135,2004,1.0,5,5,3,2,0,4,4,100.0,0,1,0,1,1,6,3,0,Matches
140,Nasser Djiga,bf BFA,"DF,FW",Wolves,22-176,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,2,2,3,1,Matches
141,Matt Doherty,ie IRL,DF,Wolves,33-114,1992,21.8,37,20,25,12,0,16,24,66.7,8,26,15,11,21,58,91,3,Matches
142,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-348,2002,15.5,28,19,9,12,7,7,14,50.0,7,10,1,9,4,32,2,0,Matches
143,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-316,1998,19.3,76,40,35,30,11,30,66,45.5,36,34,11,23,27,103,48,1,Matches
144,Patrick Dorgu,dk DEN,DF,Manchester Utd,20-196,2004,7.0,23,17,12,9,2,12,17,70.6,5,9,0,9,4,27,19,2,Matches
145,Alfie Dorrington,eng ENG,DF,Tottenham,20-020,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
146,Abdoulaye Doucouré,ml MLI,MF,Everton,32-129,1993,26.9,45,27,20,18,7,13,39,33.3,26,30,6,24,9,54,19,1,Matches
147,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-122,2000,5.0,16,8,6,8,2,5,11,45.5,6,4,0,4,11,27,10,1,Matches
148,Flynn Downes,eng ENG,MF,Southampton,26-110,1999,20.9,44,24,19,20,5,14,32,43.8,18,24,6,18,30,74,38,4,Matches
149,Tommy Doyle,eng ENG,MF,Wolves,23-205,2001,5.4,11,6,6,3,2,6,15,40.0,9,11,5,6,5,16,11,1,Matches
