Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
506,Jurriën Timber,nl NED,DF,Arsenal,23-327,2001,26.9,58,38,17,30,11,18,27,66.7,9,19,4,15,22,80,44,1,Matches
507,Jean-Clair Todibo,fr FRA,DF,West Ham,25-131,1999,17.4,40,24,26,13,1,25,33,75.8,8,24,12,12,21,61,70,3,Matches
508,Harry Toffolo,eng ENG,DF,Nott'ham Forest,29-264,1995,1.5,5,3,3,1,1,3,4,75.0,1,2,2,0,2,7,12,0,Matches
509,Takehiro Tomiyasu,jp JPN,DF,Arsenal,26-186,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
510,Sandro Tonali,it ITA,MF,Newcastle Utd,25-002,2000,26.2,47,30,20,22,5,22,44,50.0,22,32,10,22,33,80,32,2,Matches
511,Pau Torres,es ESP,DF,Aston Villa,28-114,1997,20.2,20,14,11,7,2,9,15,60.0,6,14,10,4,9,29,65,2,Matches
512,Conor Townsend,eng ENG,DF,Ipswich Town,32-067,1993,3.7,11,8,9,2,0,8,11,72.7,3,8,6,2,4,15,16,0,Matches
513,Adama Traoré,es ESP,"FW,MF",Fulham,29-105,1996,17.7,17,12,8,4,5,5,13,38.5,8,7,0,7,1,18,6,3,Matches
514,Boubacar Traoré,ml MLI,MF,Wolves,23-263,2001,0.0,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
515,Mark Travers,ie IRL,GK,Bournemouth,25-357,1999,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Matches
516,Ryan Trevitt,eng ENG,MF,Brentford,22-059,2003,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
517,Kieran Trippier,eng ENG,DF,Newcastle Utd,34-233,1990,14.2,37,20,18,13,6,21,35,60.0,14,11,3,8,12,49,49,0,Matches
518,Leandro Trossard,be BEL,FW,Arsenal,30-157,1994,26.2,26,17,5,14,7,9,31,29.0,22,31,0,31,9,35,17,0,Matches
519,Kostas Tsimikas,gr GRE,DF,Liverpool,28-363,1996,8.3,29,18,13,11,5,13,20,65.0,7,5,2,3,10,39,20,0,Matches
520,Axel Tuanzebe,cd COD,DF,Ipswich Town,27-177,1997,16.1,29,17,20,3,6,16,24,66.7,8,18,9,9,21,50,53,1,Matches
521,Destiny Udogie,it ITA,DF,Tottenham,22-163,2002,20.4,74,47,41,26,7,33,47,70.2,14,40,6,34,21,95,35,1,Matches
522,Manuel Ugarte Ribeiro,uy URU,MF,Manchester Utd,24-029,2001,19.0,74,46,32,34,8,28,66,42.4,38,31,4,27,26,100,16,1,Matches
523,Lesley Ugochukwu,fr FRA,MF,Southampton,21-045,2004,16.9,49,24,15,30,4,18,33,54.5,15,26,9,17,14,63,21,1,Matches
524,Enes Ünal,tr TUR,"FW,MF",Bournemouth,28-000,1997,3.8,1,0,0,0,1,0,3,0.0,3,1,0,1,0,1,6,0,Matches
525,Virgil van Dijk,nl NED,DF,Liverpool,33-306,1991,35.0,35,17,17,16,2,11,20,55.0,9,25,14,11,54,89,179,4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
526,Jamie Vardy,eng ENG,FW,Leicester City,38-119,1987,29.5,18,13,6,7,5,4,13,30.8,9,8,4,4,5,23,23,0,Matches
527,Renato Veiga,pt POR,"DF,MF",Chelsea,21-285,2003,2.0,9,6,6,3,0,4,12,33.3,8,3,1,2,1,10,2,0,Matches
528,Joël Veltman,nl NED,DF,Brighton,33-115,1992,18.5,42,28,23,16,3,30,51,58.8,21,22,7,15,18,60,66,0,Matches
529,Micky van de Ven,nl NED,DF,Tottenham,24-021,2001,10.6,10,6,5,4,1,8,14,57.1,6,9,6,3,10,20,36,1,Matches
530,Bart Verbruggen,nl NED,GK,Brighton,22-265,2002,33.0,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,28,5,Matches
531,Jannik Vestergaard,dk DEN,DF,Leicester City,32-280,1992,15.5,22,10,16,6,0,9,15,60.0,6,21,14,7,16,38,74,1,Matches
532,Guglielmo Vicario,it ITA,GK,Tottenham,28-215,1996,23.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,6,Matches
533,Carlos Vinícius,br BRA,"MF,FW",Fulham,30-046,1995,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
534,Kyle Walker,eng ENG,DF,Manchester City,34-347,1990,10.8,17,10,7,7,3,14,26,53.8,12,13,4,9,3,20,13,1,Matches
535,Kyle Walker-Peters,eng ENG,DF,Southampton,28-027,1997,32.4,44,29,22,15,7,16,35,45.7,19,27,15,12,19,63,90,1,Matches
536,Christian Walton,eng ENG,GK,Ipswich Town,29-182,1995,6.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,1,Matches
537,Aaron Wan-Bissaka,eng ENG,DF,West Ham,27-165,1997,32.0,64,45,29,30,5,20,27,74.1,7,32,9,23,60,124,116,0,Matches
538,Danny Ward,wls WAL,GK,Leicester City,31-322,1993,1.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
539,Joel Ward,eng ENG,DF,Crystal Palace,35-193,1989,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
540,James Ward-Prowse,eng ENG,MF,West Ham,30-190,1994,9.0,15,10,7,5,3,4,13,30.8,9,6,3,3,5,20,13,0,Matches
541,James Ward-Prowse,eng ENG,MF,Nott'ham Forest,30-190,1994,4.4,4,1,1,3,0,2,2,100.0,0,3,2,1,5,9,8,0,Matches
542,Ollie Watkins,eng ENG,FW,Aston Villa,29-131,1995,25.9,9,6,0,5,4,3,11,27.3,8,11,3,8,8,17,15,2,Matches
543,Adam Webster,eng ENG,DF,Brighton,30-126,1995,6.9,8,5,4,3,1,5,11,45.5,6,12,9,3,14,22,28,1,Matches
544,Danny Welbeck,eng ENG,FW,Brighton,34-165,1990,21.6,23,14,6,12,5,7,18,38.9,11,17,2,15,5,28,13,0,Matches
545,Welington,br BRA,"DF,MF",Southampton,24-080,2001,2.4,13,5,9,3,1,7,12,58.3,5,3,1,2,3,16,12,0,Matches
546,Timo Werner,de GER,"FW,MF",Tottenham,29-065,1996,5.7,6,4,3,3,0,3,13,23.1,10,10,1,9,1,7,7,0,Matches
547,Adam Wharton,eng ENG,MF,Crystal Palace,20-342,2004,14.6,34,14,14,16,4,17,44,38.6,27,11,2,9,20,54,27,0,Matches
548,Ben White,eng ENG,DF,Arsenal,27-214,1997,10.5,13,9,9,2,2,11,28,39.3,17,9,7,2,15,28,35,0,Matches
549,Mats Wieffer,nl NED,"MF,DF",Brighton,25-175,1999,8.3,37,22,15,18,4,19,31,61.3,12,13,1,12,13,50,18,3,Matches
550,Neco Williams,wls WAL,DF,Nott'ham Forest,24-027,2001,25.8,75,45,56,14,5,45,73,61.6,28,40,9,31,25,100,126,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
551,Willian,br BRA,"FW,MF",Fulham,36-274,1988,2.7,3,1,0,2,1,1,5,20.0,4,0,0,0,1,4,1,0,Matches
552,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-263,1999,11.4,28,16,15,10,3,18,29,62.1,11,24,6,18,6,34,7,0,Matches
553,Callum Wilson,eng ENG,FW,Newcastle Utd,33-072,1992,3.2,2,2,0,1,1,0,2,0.0,2,2,0,2,1,3,1,0,Matches
554,Harry Wilson,wls WAL,"FW,MF",Fulham,28-049,1997,11.1,14,9,8,3,3,9,15,60.0,6,13,1,12,5,19,7,1,Matches
555,Harry Winks,eng ENG,MF,Leicester City,29-097,1996,17.1,24,11,12,10,2,13,30,43.3,17,19,7,12,9,33,20,0,Matches
556,Ben Winterburn,eng ENG,"FW,MF",Bournemouth,20-248,2004,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,0,0,Matches
557,Yoane Wissa,cd COD,FW,Brentford,28-249,1996,29.4,22,12,6,8,8,11,27,40.7,16,29,8,21,8,30,20,3,Matches
558,Chris Wood,nz NZL,FW,Nott'ham Forest,33-154,1991,29.9,5,4,1,2,2,2,9,22.2,7,11,7,4,5,10,26,1,Matches
559,Nathan Wood-Gordon,eng ENG,DF,Southampton,22-344,2002,6.9,10,7,6,3,1,5,8,62.5,3,8,5,3,4,14,26,2,Matches
560,Luke Woolfenden,eng ENG,DF,Ipswich Town,26-201,1998,13.2,9,6,5,4,0,2,5,40.0,3,21,14,7,19,28,76,0,Matches
561,Yehor Yarmoliuk,ua UKR,MF,Brentford,21-070,2004,13.3,39,24,14,19,6,23,46,50.0,23,24,7,17,10,49,31,0,Matches
562,Ryan Yates,eng ENG,MF,Nott'ham Forest,27-170,1997,20.8,41,21,23,14,4,17,37,45.9,20,35,9,26,26,67,61,1,Matches
563,Leny Yoro,fr FRA,DF,Manchester Utd,19-178,2005,12.4,26,11,17,8,1,11,17,64.7,6,5,3,2,18,44,43,0,Matches
564,Ashley Young,eng ENG,"DF,FW",Everton,39-305,1985,18.0,51,29,23,21,7,32,51,62.7,19,10,3,7,23,74,58,1,Matches
565,Illia Zabarnyi,ua UKR,DF,Bournemouth,22-251,2002,31.6,46,32,26,19,1,30,44,68.2,14,33,20,13,38,84,165,2,Matches
566,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,28-146,1996,5.1,4,1,1,2,1,2,7,28.6,5,5,0,5,4,8,6,0,Matches
567,Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23-353,2001,15.6,14,8,3,8,3,5,10,50.0,5,15,4,11,6,20,8,1,Matches
568,Martin Ødegaard,no NOR,MF,Arsenal,26-144,1998,23.7,19,11,9,7,3,4,24,16.7,20,5,0,5,4,23,5,1,Matches
